class,alcohol,malicAcid,ash,alcalinityOfAsh,magnesium,totalPhenols,flavanoids,nonFlavanoidPhenols,proanthocyanins,colorIntensity,hue,od280Od315,proline
2,11.33,3.49,1.82,18.5,112,1.36,0.02,0.58,1.8,5.65,1.04,1.51,741
1,11.42,1.85,2.33,16.76,81,1.54,1.96,0.55,2.01,10.42,1.08,2.68,683
2,12.02,3.54,2.31,17.6,92,1.29,0.62,0.41,1.34,2.4,0.64,1.54,565
0,13.41,2.21,2.0,18.15,95,2.44,1.5,0.39,2.54,6.98,1.48,2.69,1612
1,11.0,1.33,2.18,20.42,89,1.17,1.57,0.59,0.94,3.71,0.91,3.18,609
0,13.0,1.6,2.22,15.81,101,2.5,3.12,0.47,1.36,9.16,0.98,2.96,1332
1,14.01,1.95,2.14,19.84,91,2.41,2.95,0.36,0.86,6.42,1.17,2.52,926
0,11.78,1.26,2.69,21.46,98,2.25,2.92,0.6,1.51,8.91,1.11,2.13,575
2,12.26,3.64,2.23,10.5,79,1.12,-0.08,0.53,2.6,3.94,0.69,1.98,979
0,12.66,1.74,2.08,17.89,99,2.16,2.33,0.36,1.57,3.41,1.32,2.54,566
2,12.72,3.86,2.76,18.22,79,1.54,0.5,0.64,1.84,6.58,0.68,1.14,921
1,13.9,4.18,2.3,21.84,98,1.22,1.06,0.58,1.68,8.98,0.84,2.76,841
2,12.61,2.86,2.72,21.23,103,1.14,0.93,0.56,2.03,6.06,1.2,1.44,644
1,11.04,4.34,2.29,18.2,91,1.37,3.14,0.38,1.94,4.96,1.25,1.76,615
2,11.95,4.27,2.29,22.29,89,1.54,0.94,0.6,1.41,8.43,1.17,3.07,760
2,10.92,3.57,2.18,17.07,97,1.86,0.91,0.66,1.83,8.88,0.9,1.43,738
1,11.34,1.83,2.17,22.74,100,2.82,1.82,0.39,2.19,4.31,1.08,3.25,772
1,13.54,1.63,2.5,20.15,105,1.7,2.17,0.53,2.4,7.34,1.18,1.94,1111
1,12.84,1.89,2.36,15.1,92,2.14,2.15,0.57,1.51,4.26,1.02,2.8,980
2,12.61,2.25,1.97,17.06,96,1.35,0.74,0.68,2.25,7.61,0.99,1.81,672
0,12.75,1.54,2.27,24.07,97,2.74,1.46,0.28,2.18,5.17,1.16,2.48,1389
2,13.59,1.99,2.22,18.39,96,2.38,0.34,0.36,1.2,5.82,1.14,2.95,733
2,13.36,3.4,2.37,15.14,91,1.7,0.72,0.37,1.41,5.44,1.12,1.34,524
2,13.24,4.01,1.81,15.75,93,1.4,0.69,0.42,1.92,7.59,1.09,1.77,802
0,13.56,1.21,2.6,14.72,87,2.59,3.65,0.26,1.14,5.94,0.71,2.95,1394
0,14.26,2.03,2.43,13.59,89,2.09,1.91,0.5,1.83,2.94,1.18,3.03,1465
0,12.21,1.85,2.02,16.98,94,2.25,2.37,0.37,1.68,11.13,1.19,2.73,1589
0,13.94,1.72,2.67,17.16,114,2.43,1.24,0.34,1.58,6.29,1.34,2.48,1742
2,10.57,1.59,2.56,23.67,90,2.34,0.95,0.57,1.2,6.49,0.76,1.7,571
1,11.98,3.98,2.31,20.16,94,2.93,2.01,0.58,1.98,5.46,1.26,2.86,709
0,12.74,1.22,2.24,13.96,85,2.92,3.39,0.58,1.4,5.87,1.07,2.84,1156
0,12.83,1.3,2.22,20.32,102,1.54,0.3,0.52,1.76,2.41,0.76,3.11,675
2,11.98,4.42,2.13,19.5,92,1.28,0.32,0.57,1.88,12.96,0.6,1.8,831
1,11.77,1.31,2.5,18.68,114,2.28,2.3,0.62,1.35,6.57,1.12,3.07,1449
0,13.0,1.4,2.4,19.39,120,2.74,1.23,0.49,2.91,4.13,1.19,2.88,789
2,11.95,2.94,2.3,23.54,89,1.23,0.7,0.59,2.21,10.4,1.31,1.36,580
0,12.64,1.47,2.12,15.35,106,1.9,1.8,0.62,1.66,7.11,1.37,3.27,1387
0,13.43,1.72,1.93,14.81,88,2.0,2.19,0.27,1.89,1.04,1.35,2.22,1327
2,11.4,4.64,2.29,18.0,88,1.61,0.53,0.61,2.3,8.39,1.01,1.35,680
1,10.9,3.42,1.96,23.45,107,1.44,0.48,0.54,1.64,7.35,1.24,1.56,491
2,11.71,4.34,1.82,21.32,84,1.81,-0.02,0.53,1.85,6.82,0.83,1.21,707
2,12.63,4.42,2.3,14.28,97,1.87,-0.55,0.62,1.52,6.66,0.66,1.08,958
0,12.37,1.53,2.28,11.67,111,2.57,2.63,0.34,1.27,6.97,1.11,2.46,1285
2,11.26,1.86,2.46,17.93,76,2.12,2.26,0.4,1.38,2.04,1.19,3.14,778
2,11.85,4.28,2.4,26.99,89,1.58,-0.42,0.58,2.05,9.43,0.78,1.18,753
2,13.43,5.44,2.01,20.35,83,1.74,0.91,0.7,1.92,11.01,0.89,1.37,892
0,13.62,5.5,2.33,18.84,100,2.3,1.72,0.28,2.36,5.03,1.19,2.42,1251
2,13.53,3.8,2.32,20.39,101,1.17,0.55,0.4,1.94,3.19,1.18,1.44,487
2,12.14,3.96,2.3,16.12,92,2.74,0.95,0.56,1.88,5.39,1.03,2.8,842
1,10.6,1.75,2.39,13.1,92,1.29,2.71,0.53,1.33,4.84,1.16,1.34,1582
2,12.59,3.64,2.43,15.78,84,2.73,3.17,0.51,1.69,11.48,1.15,1.75,779
2,10.9,4.64,2.02,17.58,94,1.68,-0.15,0.56,2.17,10.85,0.87,1.34,868
2,12.46,2.16,1.95,13.05,83,1.75,2.66,0.54,2.43,3.41,0.81,2.63,577
0,13.26,2.42,2.26,13.98,115,2.07,2.4,0.57,2.16,3.85,1.2,2.72,1340
1,11.69,2.68,2.35,19.48,96,1.45,0.57,0.56,1.5,8.12,1.29,1.46,834
2,12.8,2.65,2.26,20.86,96,1.29,0.11,0.45,0.89,5.03,0.92,1.43,567
2,10.76,1.89,2.09,21.22,80,1.94,0.5,0.63,2.34,8.56,0.81,1.23,764
0,11.62,2.88,2.72,20.16,92,2.97,1.79,0.58,1.88,9.29,1.28,2.29,1415
1,12.08,1.34,2.42,21.09,89,2.26,0.06,0.58,2.04,4.87,0.92,2.65,690
0,12.6,1.56,2.14,16.47,105,2.26,3.39,0.32,1.69,8.87,1.11,2.94,1569
2,11.85,4.39,2.05,19.51,96,1.71,1.46,0.61,1.03,5.48,0.72,1.43,781
2,11.8,3.3,2.65,20.38,110,1.44,3.84,0.47,1.25,6.04,1.02,1.59,677
1,11.89,2.87,2.27,15.33,90,1.17,1.26,0.38,1.58,9.26,0.82,1.97,402
0,13.42,1.37,2.38,17.73,98,2.47,1.58,0.27,1.37,5.41,1.11,2.57,1355
2,12.34,4.6,2.49,20.18,111,1.62,0.14,0.64,1.19,5.87,1.13,1.95,886
2,12.07,4.66,2.41,19.76,80,1.34,0.49,0.65,2.35,13.86,0.65,1.87,949
2,12.05,4.22,2.29,18.47,102,1.76,0.74,0.54,1.72,4.51,0.81,1.92,790
1,12.77,1.2,1.95,21.84,110,2.33,3.05,0.61,0.87,4.22,1.22,2.62,975
1,10.96,1.39,2.16,19.61,80,2.47,1.95,0.41,1.57,5.38,1.11,3.32,663
2,11.87,4.71,2.46,18.66,96,1.47,-0.18,0.57,1.5,14.61,0.74,1.06,701
0,13.26,2.25,2.34,15.51,97,1.17,3.26,0.59,1.27,6.69,1.08,3.05,930
0,12.17,1.68,2.13,16.35,112,2.21,2.59,0.3,2.0,7.42,1.03,2.65,1268
2,11.98,5.75,2.35,19.82,96,1.67,0.01,0.51,1.76,3.35,1.09,3.32,494
1,12.95,1.81,2.34,19.99,101,2.38,2.06,0.5,1.89,1.33,1.26,2.97,1328
2,10.9,3.57,2.14,22.82,93,1.44,0.19,0.64,2.09,4.64,0.87,1.34,719
0,12.78,1.49,2.5,14.53,87,2.25,2.23,0.66,1.84,5.92,0.98,2.94,1683
1,11.57,2.08,2.34,19.1,81,1.73,2.4,0.4,1.85,5.08,1.08,2.81,680
2,12.54,5.59,2.49,12.56,84,1.98,0.13,0.55,2.2,7.67,0.7,1.88,902
2,12.76,3.08,1.98,15.78,95,2.06,0.51,0.49,2.74,11.26,0.52,1.7,878
0,13.99,1.99,2.16,17.01,83,2.27,3.32,0.32,3.26,6.07,1.32,2.08,1413
1,11.59,2.0,2.33,17.77,111,2.12,0.77,0.58,1.88,4.69,1.14,2.83,1118
0,11.3,1.62,2.35,15.46,90,2.17,1.73,0.6,1.79,6.47,1.19,2.49,1342
0,12.98,4.36,2.58,18.37,93,2.21,2.83,0.34,1.46,6.23,1.17,2.22,1141
2,12.97,4.77,2.12,22.24,112,1.33,0.7,0.5,1.51,9.72,1.17,1.82,670
0,12.03,2.11,2.02,23.42,90,1.41,0.84,0.53,2.36,3.26,0.58,3.74,546
0,12.94,2.37,2.33,22.35,91,2.53,1.76,0.39,1.28,10.34,1.35,2.41,1352
1,12.98,1.68,1.92,18.71,95,1.63,2.68,0.55,1.55,5.82,0.9,1.24,760
2,11.98,4.0,2.06,19.24,101,1.65,-0.34,0.6,1.82,9.59,0.76,1.41,800
2,11.48,1.38,1.89,18.14,91,1.24,3.56,0.64,1.79,7.83,1.08,2.91,879
2,12.09,3.53,2.17,21.76,98,1.38,-0.27,0.58,2.39,11.83,0.79,1.6,849
0,14.47,2.04,2.38,16.09,90,2.63,2.79,0.32,2.54,6.76,1.36,3.19,1344
2,12.36,4.83,2.35,16.85,92,2.01,-0.15,0.66,0.97,10.56,0.81,1.42,868
0,13.66,2.09,2.22,23.7,106,2.12,1.83,0.41,2.77,4.93,1.46,2.61,1190
2,12.9,3.35,2.25,17.96,69,1.68,0.8,0.57,2.0,8.64,0.97,1.68,703
0,13.13,2.23,1.85,17.86,112,2.34,3.26,0.61,2.12,4.49,1.01,3.34,688
2,12.9,2.63,2.64,20.59,93,1.16,1.17,0.52,0.84,11.75,0.6,1.71,808
2,11.79,4.31,2.05,18.63,89,1.49,1.35,0.38,1.89,8.27,0.68,1.49,728
0,11.27,2.1,2.11,13.83,105,2.7,1.61,0.42,2.32,11.25,1.32,2.9,1488
0,13.98,1.2,2.36,16.27,79,2.75,2.93,0.26,1.9,9.02,1.2,2.62,1158
1,10.84,2.1,2.58,20.22,103,3.08,2.19,0.41,1.11,4.29,1.28,2.49,595
2,11.01,3.61,2.36,26.34,100,1.32,0.04,0.55,2.06,7.36,0.89,1.4,702
1,14.11,4.98,2.22,20.57,88,0.94,1.88,0.47,1.52,4.95,1.48,3.15,473
2,11.82,3.24,2.37,20.76,81,1.42,0.77,0.62,2.49,12.88,0.76,1.59,865
2,10.65,3.11,2.02,13.17,94,1.64,0.2,0.67,2.07,5.85,0.96,1.23,863
1,12.63,1.62,1.96,17.2,96,2.69,2.45,0.35,1.99,6.02,1.04,2.7,1372
1,12.39,2.04,2.48,21.34,99,2.73,2.4,0.4,1.0,5.07,0.98,2.37,1064
0,13.19,2.17,2.32,15.48,123,2.67,2.03,0.54,1.6,5.43,1.5,3.38,1360
1,13.03,1.36,2.46,18.68,89,1.62,2.54,0.58,1.7,2.78,0.58,2.73,771
0,11.15,1.95,1.97,25.12,85,2.29,2.48,0.38,0.87,3.66,1.41,3.26,1040
1,11.34,3.04,2.52,18.54,81,1.66,1.36,0.73,1.96,11.71,0.66,1.82,860
1,13.18,2.29,2.39,20.53,108,2.36,1.6,0.39,1.78,6.7,1.06,2.48,1451
2,11.6,3.34,2.16,17.54,84,2.06,0.51,0.67,1.42,8.47,1.27,1.23,601
0,13.14,1.7,2.4,16.03,105,2.53,1.79,0.37,1.79,4.66,1.12,2.6,1419
2,12.16,4.14,2.07,19.7,110,2.5,0.39,0.47,1.99,8.86,0.82,2.63,702
2,13.44,1.46,2.45,13.47,87,2.53,2.55,0.34,1.21,7.01,0.96,2.77,1444
1,11.72,1.83,2.45,17.7,109,2.16,2.47,0.55,1.18,7.93,1.0,2.82,612
0,12.55,1.58,2.15,22.17,71,2.65,2.08,0.34,0.93,4.84,1.17,2.38,618
0,13.23,1.98,2.3,28.1,109,1.72,1.18,0.39,2.03,6.59,1.59,2.55,1555
2,11.57,2.68,2.36,21.18,89,1.57,1.15,0.56,1.77,11.6,0.59,1.18,913
0,12.65,1.17,2.41,16.25,98,2.33,1.78,0.36,1.5,5.55,1.49,2.62,1505
2,12.2,4.09,2.19,16.53,92,1.56,1.01,0.64,1.88,7.96,0.79,1.29,675
1,13.09,1.44,2.06,17.82,101,1.47,0.56,0.27,1.97,5.81,0.98,2.6,696
2,12.26,3.9,1.92,13.39,78,1.71,1.14,0.47,1.13,3.75,1.14,1.83,799
1,11.39,1.59,2.13,17.39,101,2.92,2.51,0.57,1.45,4.13,0.94,1.2,806
2,12.31,4.02,2.03,14.9,93,1.79,0.57,0.51,2.22,7.53,0.7,1.42,796
2,12.04,5.49,2.31,22.18,79,1.47,0.27,0.61,1.91,7.03,0.81,1.36,839
2,11.99,2.26,2.22,14.31,89,0.92,2.04,0.58,2.36,5.05,0.81,1.93,783
2,12.27,1.22,1.81,21.43,88,1.61,0.06,0.52,2.26,4.2,0.49,0.97,855
2,12.84,4.31,2.6,20.8,84,1.19,0.48,0.59,2.63,9.42,1.83,1.46,547
2,11.0,3.19,2.76,24.66,91,1.53,1.93,0.54,1.87,9.51,1.17,1.71,763
0,12.5,1.32,1.89,20.65,103,2.22,1.7,0.4,2.18,4.12,1.14,2.9,1417
1,13.11,2.93,2.07,17.39,91,1.43,-0.22,0.37,2.06,2.91,0.77,1.37,655
2,12.29,3.42,2.01,14.12,79,1.55,0.95,0.65,2.27,10.43,1.64,1.36,813
2,11.03,1.65,2.25,13.22,93,1.42,1.24,0.52,1.51,9.58,1.06,1.24,599
1,11.87,3.81,2.75,21.43,96,1.7,-0.26,0.64,2.1,7.32,0.8,1.72,810
0,12.76,1.7,2.01,13.02,88,2.45,2.32,0.38,1.54,5.38,1.21,2.91,1343
2,11.4,2.91,2.47,15.58,105,1.58,0.34,0.58,1.47,9.77,0.61,1.46,800
1,13.61,1.96,2.32,19.21,72,3.44,3.34,0.36,1.55,5.84,1.07,2.45,1180
2,12.94,2.24,2.55,15.18,109,1.72,1.26,0.53,1.79,4.31,1.13,1.92,555
2,11.39,4.5,2.32,22.2,105,1.74,0.13,0.51,1.67,6.43,1.18,1.19,544
0,11.71,1.81,1.9,15.23,94,1.68,3.58,0.31,1.99,3.83,0.9,3.36,1287
2,11.7,1.44,1.96,17.0,94,1.72,0.94,0.5,1.44,8.84,0.66,1.55,875
2,11.67,2.98,2.24,15.74,99,1.91,1.92,0.62,2.52,3.45,0.76,1.94,687
0,13.8,1.09,2.37,16.0,84,2.65,2.23,0.31,1.82,5.51,1.28,2.4,1523
0,13.42,1.81,2.08,17.23,96,1.99,1.68,0.33,1.7,11.38,1.29,2.94,1007
1,11.38,1.9,2.12,20.12,106,2.66,2.23,0.58,1.43,4.71,0.72,3.18,1171
2,11.54,2.56,2.24,15.39,91,1.46,0.05,0.63,1.43,5.03,0.98,1.88,875
2,12.23,3.32,2.04,26.12,75,1.35,0.71,0.52,2.03,8.65,0.75,1.06,730
2,11.32,4.35,2.65,19.05,90,1.38,0.33,0.61,1.51,6.19,1.34,1.32,718
0,13.28,1.54,2.36,11.37,89,2.48,1.04,0.71,1.9,4.62,1.13,2.34,1755
0,13.52,1.3,2.35,17.63,98,2.62,1.78,0.31,2.08,13.04,1.19,3.25,1427
0,13.04,1.71,2.44,20.56,93,3.28,2.38,0.38,1.31,10.02,1.07,2.5,1148
0,12.5,2.39,2.78,16.4,96,2.75,1.72,0.59,1.82,6.77,1.2,2.9,1269
0,13.31,1.9,2.12,15.39,83,2.08,1.18,0.42,3.17,7.14,1.56,1.94,1519
0,13.36,1.66,1.9,18.27,75,2.08,1.55,0.34,1.84,5.82,1.56,2.4,1581
0,13.61,1.68,2.49,21.43,109,2.25,2.0,0.38,1.59,5.44,1.42,2.63,1506
2,11.62,4.08,2.06,18.09,88,1.08,-0.14,0.46,1.79,13.19,1.39,1.68,703
0,13.54,1.62,1.82,17.16,87,1.99,2.61,0.26,1.63,5.07,1.43,2.2,876
0,13.1,2.13,2.0,18.45,108,2.05,1.61,0.32,1.52,9.89,1.42,2.23,1225
0,10.98,5.39,2.0,19.22,81,1.82,3.29,0.54,1.75,5.55,0.97,3.48,713
0,13.08,1.48,2.43,17.64,88,1.84,1.93,0.6,1.47,9.81,1.19,2.9,1256
0,13.55,1.09,2.59,16.1,99,1.81,2.49,0.33,1.72,4.82,1.31,3.09,1354
2,13.61,4.69,2.6,15.01,95,1.61,0.61,0.62,1.79,3.88,1.32,1.77,809
2,11.64,3.48,2.12,11.27,104,1.12,1.27,0.58,2.35,7.56,0.64,1.9,701
2,11.18,3.42,1.89,22.79,114,1.63,-0.28,0.52,2.85,12.6,0.49,1.36,921
2,12.6,1.3,2.24,16.04,108,1.37,0.8,0.46,1.24,6.89,0.53,1.49,743
2,12.11,1.85,2.33,22.41,108,1.81,1.43,0.52,2.19,5.33,1.24,1.41,724
0,12.62,1.5,2.49,20.09,103,1.95,1.76,0.41,1.28,5.47,1.36,2.6,1653
0,13.25,2.35,2.27,20.74,87,2.29,2.66,0.38,2.0,6.52,1.3,2.38,1727
1,11.65,1.5,2.21,20.02,105,1.74,2.84,0.62,1.41,6.04,0.86,1.83,711
0,12.83,1.67,2.49,18.18,99,2.8,1.9,0.25,1.1,5.66,1.01,2.35,1615
2,11.75,3.52,2.02,20.53,84,1.5,0.69,0.52,1.28,10.61,1.53,0.98,892
1,11.01,2.27,2.04,17.54,86,1.67,2.19,0.5,1.72,9.53,1.24,2.28,677
2,11.31,3.55,2.0,15.92,95,1.45,2.24,0.57,2.03,5.3,1.08,3.38,613
2,13.83,2.26,2.5,23.56,110,1.73,0.93,0.35,1.25,7.46,1.41,2.44,828
0,12.96,1.42,2.86,22.91,77,2.67,1.91,0.38,0.82,6.62,1.5,2.63,1653
2,11.27,1.91,2.55,15.91,112,2.16,0.02,0.67,1.71,3.55,1.02,2.76,554
1,11.96,1.88,2.86,23.36,116,2.37,1.67,0.67,1.41,11.04,1.08,3.06,831
1,11.82,3.12,2.78,11.51,107,1.68,-0.38,0.61,2.17,9.33,0.7,0.94,950
1,11.36,1.49,2.43,21.7,106,2.57,1.49,0.52,1.79,3.1,1.18,1.96,668
0,12.22,2.25,2.35,11.55,89,2.19,2.61,0.37,1.5,4.83,0.92,3.16,1100
2,12.7,3.59,2.55,18.38,84,1.17,0.51,0.64,2.4,8.77,0.86,2.08,774
0,13.59,2.03,1.86,19.4,102,2.45,1.6,0.4,1.89,7.02,1.08,3.06,888
2,11.64,3.23,2.56,17.13,111,1.23,0.63,0.63,1.7,7.9,0.68,1.35,800
0,13.05,1.69,2.27,18.52,110,2.11,2.26,0.61,1.47,5.45,1.28,2.67,1083
2,12.24,2.95,2.15,17.15,90,1.57,0.55,0.53,2.51,10.54,0.77,1.27,705
1,13.67,2.17,2.65,16.85,120,2.58,1.62,0.36,1.85,4.55,0.87,2.84,735
0,12.49,2.24,2.27,19.08,107,1.99,0.96,0.42,1.43,6.17,1.42,2.42,1838
0,13.4,1.93,2.55,19.12,96,2.23,1.55,0.38,2.34,6.02,1.56,2.54,1597
0,12.16,1.13,2.22,17.88,102,2.84,1.34,0.44,1.2,3.85,1.24,2.6,1397
1,11.78,1.47,2.09,19.72,94,1.9,2.52,0.67,2.19,7.94,1.39,1.5,613
1,13.73,1.69,1.95,19.13,84,2.41,2.38,0.26,1.18,4.92,1.04,2.54,484
0,13.48,1.45,2.26,17.21,87,1.8,2.16,0.29,1.97,6.91,0.95,2.29,1642
0,11.94,2.28,2.62,17.49,112,1.77,2.29,0.43,1.62,9.39,1.21,2.45,700
1,12.37,2.16,2.14,23.0,94,2.07,0.82,0.54,1.94,5.07,0.99,2.93,759
2,11.28,1.58,2.17,21.72,90,1.14,0.88,0.67,1.51,6.65,0.92,1.23,831
1,13.5,3.41,2.15,16.34,101,1.23,0.25,0.32,2.24,6.4,1.18,1.58,614
0,12.79,3.85,2.02,17.68,88,2.35,3.22,0.33,1.06,8.65,1.18,2.66,1558
2,11.32,2.49,2.13,22.31,96,1.45,0.44,0.52,2.19,6.87,0.75,1.49,659
2,12.33,4.76,2.27,16.59,99,1.57,0.23,0.55,2.03,3.54,0.83,1.57,461
1,11.99,4.11,2.56,24.64,90,1.54,2.51,0.54,1.66,4.15,1.42,1.6,728
2,13.03,3.11,2.65,12.94,95,1.5,0.62,0.47,1.54,5.41,0.73,1.5,889
0,13.24,2.54,2.16,14.22,97,2.23,1.9,0.34,2.78,10.01,1.19,2.99,1221
0,12.78,1.73,2.5,19.43,84,3.1,2.98,0.35,1.8,5.73,1.2,2.73,1463
0,13.13,1.8,2.28,19.92,77,2.42,2.32,0.37,2.0,4.93,1.19,2.15,910
2,11.54,4.86,2.26,16.29,96,1.55,0.84,0.54,2.11,8.03,1.31,3.01,855
0,13.09,2.02,2.67,22.8,122,2.45,1.22,0.39,2.31,4.81,1.35,3.2,1492
0,13.56,1.2,2.72,18.8,115,1.99,1.7,0.41,1.73,2.59,1.34,2.33,1190
1,11.05,1.19,2.08,19.27,78,2.7,2.35,0.47,1.05,6.54,1.02,1.0,786
0,10.88,1.75,2.1,15.7,98,2.0,1.54,0.37,1.43,5.89,1.04,3.13,1474
0,13.52,1.8,1.91,22.58,97,3.04,1.73,0.29,2.47,4.38,1.5,2.49,1080
2,11.0,2.2,2.32,18.88,105,2.46,2.84,0.34,1.54,10.6,0.98,2.74,644
0,12.98,1.65,2.66,18.42,105,2.79,1.52,0.29,1.88,2.16,1.44,2.9,1328
2,10.94,4.38,2.5,13.35,95,1.36,1.19,0.66,1.55,11.89,0.97,1.83,701
2,11.53,4.33,2.15,16.27,117,1.44,-0.11,0.5,2.86,13.73,0.7,1.82,924
2,13.6,4.28,2.46,20.63,96,1.15,0.64,0.61,2.08,4.81,1.46,1.83,601
0,12.76,2.62,1.54,20.71,90,2.58,0.94,0.39,3.59,3.2,1.44,1.98,1578
0,12.97,1.6,2.18,23.21,94,1.94,2.17,0.57,3.77,5.24,1.42,2.73,1254
0,12.96,1.16,2.33,11.09,91,2.44,2.6,0.36,1.55,10.98,0.9,2.95,1558
2,12.48,3.37,2.3,14.58,97,1.86,0.99,0.55,1.88,8.12,1.09,1.39,701
1,13.78,1.77,2.44,17.07,82,2.59,1.39,0.33,1.33,4.17,1.45,2.64,1089
0,12.76,1.98,2.78,15.27,96,2.76,0.85,0.33,1.22,6.47,0.86,2.99,1528
0,12.63,2.15,2.13,19.89,81,2.46,2.81,0.3,2.01,5.16,1.4,2.92,1465
0,12.64,2.23,2.32,18.9,91,3.09,1.18,0.38,0.76,4.92,1.41,2.56,1521
0,12.58,2.01,2.28,22.08,82,3.48,1.09,0.59,2.76,9.67,1.18,1.96,1476
2,12.22,2.93,2.08,13.8,95,1.82,0.43,0.52,2.5,10.82,0.81,1.2,846
1,13.41,2.35,2.54,10.98,99,2.88,2.53,0.33,2.11,12.49,0.76,3.19,1458
2,12.0,1.06,2.67,24.19,133,2.17,2.51,0.67,2.15,3.72,1.12,2.46,519
1,13.46,2.29,2.68,11.36,94,1.66,0.62,0.44,1.32,5.96,1.27,1.95,734
2,11.75,1.18,2.39,25.79,116,1.88,1.65,0.52,1.28,4.8,0.69,1.7,449
1,11.92,3.62,2.28,18.32,93,1.72,1.01,0.55,1.88,5.63,1.03,2.76,726
0,12.87,1.65,2.71,24.49,106,2.83,1.27,0.34,1.81,7.98,1.07,2.22,1486
2,12.92,5.06,2.34,19.02,124,3.05,1.78,0.39,1.11,6.95,1.2,2.5,791
0,12.77,1.88,2.19,17.58,86,1.6,0.61,0.35,2.53,7.22,1.15,3.25,1339
2,11.97,4.67,2.2,12.09,87,1.89,1.79,0.47,1.42,3.39,0.69,2.13,653
2,13.22,2.0,2.14,18.98,82,1.78,0.92,0.63,2.01,10.63,0.72,1.8,798
2,12.81,1.95,2.2,15.99,90,1.76,0.97,0.7,1.54,4.82,0.84,3.61,689
2,11.61,3.63,2.07,15.8,85,0.95,0.5,0.57,2.38,12.97,0.66,1.45,770
2,12.4,1.7,2.49,13.74,89,2.56,2.21,0.56,1.44,5.18,1.14,3.1,1528
2,13.0,3.19,2.27,15.92,86,1.74,1.0,0.61,1.42,5.32,0.9,1.24,729
0,13.38,3.63,2.28,16.85,87,2.23,3.1,0.33,1.52,5.27,1.22,2.27,1524
0,13.34,1.93,2.0,17.93,88,2.29,1.23,0.31,2.56,5.92,1.21,2.15,1248
2,11.96,4.58,2.12,11.88,113,1.2,0.75,0.57,1.59,10.41,0.75,1.92,796
2,13.3,2.17,2.18,14.57,93,1.74,-0.06,0.51,1.97,9.9,0.94,2.41,927
1,11.81,1.69,2.35,16.03,121,2.69,1.9,0.63,1.96,3.16,1.24,2.51,630
2,12.74,3.81,2.52,15.74,107,1.85,2.57,0.54,2.14,6.35,0.62,1.25,752
2,13.64,4.76,2.37,21.44,118,1.54,0.01,0.59,1.73,5.63,1.23,3.33,670
0,12.95,3.72,2.34,19.22,87,1.78,1.0,0.45,1.54,5.39,0.84,2.86,788
0,13.52,1.33,2.41,14.23,95,2.31,2.6,0.43,1.48,4.65,1.27,2.82,1350
0,12.0,1.16,2.6,13.76,96,3.23,2.18,0.21,2.21,7.21,1.05,2.81,1383
2,11.57,4.78,2.21,15.57,93,1.62,1.39,0.54,2.12,11.29,1.45,2.25,515
2,12.3,4.71,2.2,23.31,88,1.66,0.17,0.52,1.7,9.87,0.75,1.38,712
0,13.51,2.26,2.31,21.67,103,2.53,1.61,0.3,3.16,7.19,1.42,2.32,1455
0,11.13,2.23,2.34,18.91,94,2.14,1.9,0.42,1.96,12.6,1.14,3.08,436
2,10.93,1.74,2.02,16.52,99,1.04,3.15,0.56,2.0,4.84,0.99,3.44,670
1,12.76,1.32,2.64,17.52,92,2.68,2.38,0.38,2.02,4.62,1.14,2.55,1554
0,12.67,1.95,1.91,19.32,106,2.46,3.17,0.24,2.19,6.56,1.18,2.12,1555
0,13.82,2.01,2.34,22.56,97,1.75,2.52,0.4,1.3,5.48,1.3,2.86,1205
0,12.4,1.36,2.54,23.67,100,2.52,1.57,0.33,1.43,5.68,1.36,2.68,920
1,11.29,3.25,2.09,20.52,91,1.88,0.81,0.7,1.98,9.92,0.99,1.88,793
0,11.46,2.08,2.45,15.24,115,2.92,2.08,0.59,1.83,6.42,0.95,2.84,1580
1,12.03,1.53,2.89,13.16,111,1.38,2.62,0.6,1.46,11.22,0.7,2.86,895
2,10.76,2.69,2.12,16.24,103,1.88,0.72,0.61,1.26,7.62,1.09,1.09,677
1,11.5,3.81,2.32,14.54,92,1.44,-0.38,0.7,1.37,5.54,0.64,1.03,876
2,11.86,2.86,2.13,22.78,92,1.9,0.43,0.56,2.11,11.61,0.61,1.75,752
0,12.64,2.46,2.28,20.67,115,2.86,2.15,0.54,2.08,7.03,1.16,2.58,1639
1,11.12,3.79,2.29,18.29,100,1.35,2.86,0.58,1.31,5.39,1.18,3.77,754
2,11.53,1.76,2.57,17.33,91,1.47,0.26,0.6,2.18,6.47,0.81,1.12,602
1,13.47,1.45,2.36,19.37,121,2.19,0.5,0.43,1.64,6.16,1.3,2.29,605
1,13.21,2.23,2.1,18.44,88,1.72,3.13,0.59,1.22,3.35,1.28,2.78,468
0,13.05,1.43,2.31,16.41,97,2.64,1.25,0.43,3.18,8.16,1.46,1.93,1757
2,11.24,2.32,2.16,21.67,91,1.69,-0.24,0.49,1.31,5.97,0.97,1.57,472
2,12.35,3.26,2.33,20.98,95,1.82,1.15,0.53,1.9,7.05,1.15,1.43,649
0,13.03,2.1,2.34,18.95,103,2.55,1.91,0.57,2.01,5.57,0.99,2.63,608
0,12.68,1.76,2.1,15.52,97,2.16,1.83,0.29,2.39,6.92,1.16,2.63,1429
